code,job description,label
1398,Managing a caseload of graduates,Response B
1398,"Providing support, advice, and information to graduates, including workshops and one-on-one sessions",Response B
1398,Tracking and reporting on graduate progression,Response B
1398,Engaging with students regarding their well-being and career development,Response B
1368,Providing leadership and ensuring compliance with academic regulations,Response B
1368,Leading student casework functions related to appeals and misconduct,Response B
1368,Ensuring equitable treatment and adherence to university standards in academic matters,Response B
1352,Leading and managing teams responsible for student placements and career guidance,Response B
1352,Ensuring that placement activities are compliant with health and safety standards,Response B
1352,Overseeing the professional development of staff within the Careers and Placements division,Response B
1405,Managing and supervising grounds staff,Response B
1405,Ensuring health and safety compliance,Response B
1405,Overseeing the training and well-being of the grounds team,Response B
1357,Leading the development of health and safety policies,Response A
1357,Ensuring occupational health and well-being support is in place,Response A
1357,Providing guidance and support to staff and students related to health and safety issues,Response A
1373,Managing the well-being and professional development of the Management Accounts team,Response B
1373,Supporting staff with financial planning and budgeting responsibilities,Response B
1454,Leading the marketing team and ensuring their professional development,Response B
1454,"Overseeing the health, safety, and well-being compliance within the marketing department",Response B
1399,"Managing the procurement team, ensuring their professional growth and well-being",Response B
1399,"Ensuring compliance with health, safety, and welfare policies",Response B
1334,Leading and supporting staff in student assessment roles,Response B
1334,Ensuring that assessment processes are fair and support student welfare,Response B
1414,Supporting employees with disabilities by implementing reasonable adjustments,Response A
1414,Providing guidance and support to managers and supervisors on accessibility,Response A
1414,Conducting assessments and providing resources to create an inclusive work environment,Response B
1436,"Liaising with students, staff, and external program providers regarding program administration",Response B
1436,Ensuring compliance with program requirements and providing up-to-date information to students,Response B
1436,Providing support during key events like open days and induction,Response B
1387,"Acting as the main point of contact for the Academic Partnership Unit (APU), dealing with enquiries from staff, partner staff, and partner students",Response B
1387,Providing administrative support and ensuring effective communication with all stakeholders,Response B
1458,"Ensuring the safety and well-being of all staff, students, and visitors at the City Campus",Response A
1458,Managing health and safety policies and ensuring compliance with regulations,Response A
1458,Providing support and leadership to estates and facilities staff,Response A
1426,"Providing holistic careers advice and guidance to students, learners, apprentices, and graduates",Response A
1426,Ensuring students are well-supported in their career planning and decision-making processes,Response A
1456,"Managing and developing library services, including supporting students and staff",Response B
1456,Providing training and development opportunities for library staff,Response B
1456,Ensuring the library environment is conducive to study and well-being,Response B
1428,Ensuring that construction sites are safe and comply with health and safety regulations,Response B
1428,Reporting any health and safety issues and ensuring that all work meets required standards,Response B
1388,Providing administrative support to the Executive Director of People and Culture,Response B
1388,Handling sensitive and confidential information with discretion,Response B
1388,Supporting the well-being of staff through effective administrative support,Response B
1370,Building and leading relationships with budget holders,Response B
1370,Providing financial guidance and support to staff across the University,Response B
1374,Ensuring compliance with health and safety regulations,Response B
1374,Identifying hazards and defects to ensure safety on campus,Response B
1374,Providing support and guidance to contractors involved in Fire door campus works,Response B
1391,Advising on accessibility in web development and ensuring compliance with accessibility legislation,Response B
1391,"Managing and supporting the Front-End Web Developer, providing training and guidance",Response B
1350,"Providing advice, guidance, and training to academic staff, support staff, and Student Ambassadors",Response B
1350,Ensuring the well-being and safety of attendees during recruitment events,Response B
1397,Supporting apprentices and employers by ensuring smooth operations and compliance with standards,Response B
1397,"Responding to inquiries from apprentices and work-based learners, providing guidance and support",Response B
1344,Designing and delivering workshops and presentations aimed at widening participation,Response A
1344,"Providing advice and guidance to academic staff, support staff, and Student Ambassadors",Response A
1344,"Coordinating work with care leavers, acting as the Single Point of Contact",Response A
1354,"Providing a customer-friendly service for campus residents, ensuring their needs are met",Response B
1354,"Complying with health, safety, and well-being policies, promoting the welfare of others",Response B
1415,"Responding to security issues and alarms, ensuring safety on campus",Response A
1415,Providing first aid and assisting with emergency situations,Response A
1481,"Managing, training, and mentoring the Accommodation and Conference Assistant",Response B
1481,Ensuring the safety and well-being of conference and event participants,Response B
1482,Providing front-line accommodation support service and responding to welfare concerns during events,Response A
1482,"Reporting any welfare, health, or security concerns while on duty",Response A
1369,"Supporting the maintenance of academic quality and standards, ensuring compliance",Response B
1369,Liaising with staff across departments to maintain up-to-date records and standards,Response B
1371,Supporting schools and trainees during placements,Response A
1371,Ensuring compliance with safeguarding and health and safety requirements,Response A
1371,Liaising with Student Support to ensure trainees are supported during their placement lifecycle,Response A
1439,"Providing administrative support for school partnerships, including mentor onboarding and external moderation",Response B
1439,Overseeing the maintenance of accurate records and ensuring data compliance,Response B
1439,Supporting staff and students by managing communications and queries,Response B
1378,"Liaising with trainees, host schools, and the academic team to resolve any personal, professional, or academic issues during placement",Response A
1378,Supporting the School Partnerships Manager in ensuring the quality of placements and training,Response A
1398,"Supervising and managing apprenticeship administration, ensuring compliance with ESFA and other regulations",Response B
1398,"Responding to employer and learner inquiries, providing guidance and support",Response B
1398,Ensuring the well-being of apprentices through effective administration and support.,Response B
1452,Providing support and guidance to staff and students on the use of audio-visual equipment,Response B
1452,Ensuring a safe and supportive learning environment by complying with health and safety regulations,Response B
1427,"Managing space transitions and decants for staff and students, ensuring minimal disruption",Response B
1427,Liaising with HR to plan future space requirements for staff and preparing reports for review,Response B
1427,Supporting staff during space management changes,Response B
1448,Providing specialist academic study skills and pastoral support for students with dyslexia/SpLD,Response A
1448,"Managing a caseload of students with complex needs, providing personalized strategies for support",Response A
1448,Advising students on disability support available and helping them access it,Response A
1360,"Managing cases related to student complaints, conduct, and discipline, ensuring fair and compassionate outcomes",Response A
1360,Providing guidance to staff and students on casework policies and procedures,Response A
1360,Supporting the well-being of students through effective case management,Response A
1395,"Providing confidential counseling services to students, assessing risk, and taking appropriate action",Response A
1395,upporting the mental health and well-being of students through various counseling activities,Response A
1451,Supporting student officers through progress review meetings and monitoring their academic development,Response A
1451,"Providing personal and academic support for student officers, acting as the first point of contact",Response A
1451,Working with colleagues to ensure the well-being and pastoral needs of student officers,Response A
1407,Ensuring the well-being and safety of staff through health and safety compliance,Response B
1407,"Managing the maintenance team, including performance reviews and training",Response B
1407,Handling emergency responses and ensuring a safe work environment,Response B
1433,"Managing a team, including conducting professional development reviews and addressing staff development needs",Response B
1433,Ensuring a customer-focused service and promoting teamwork,Response B
1451,"Managing the Media Centre staff and ensuring their development through mentoring, training, and performance reviews",Response A
1451,Ensuring health and safety within the Media Centre and during production activities,Response A
1408,Supporting staff and students with media equipment and ensuring safety,Response B
1408,Providing guidance and training to staff and students on media technologies,Response B
1417,"Supporting the security and network infrastructure, ensuring the safety of the University’s IT systems",Response B
1417,Training other staff on IT security policies and best practices,Response B
1386,"Managing the administration of policing programmes, supporting students through the learning journey",Response A
1386,Collaborating with Student Support Services to ensure the well-being of students during their apprenticeship,Response A
1410,"Supporting equity and social justice within the institution, including the welfare of staff and students",Response A
1410,Promoting and safeguarding the welfare of others through race equality initiatives,Response A
1428,"Providing administrative support for school partnerships, ensuring compliance with data protection and safeguarding policies.",Response B
1428,"Acting as the first point of contact for queries, signposting support as needed",Response B
1379,Managing a team of Placement Advisors and ensuring the well-being of trainees during placements,Response A
1379,Providing one-on-one student support to resolve placement-related issues,Response A
1457,"Leading student casework services, including handling complex cases such as fitness to study and academic misconduct",Response A
1457,Providing strategic guidance to ensure a compassionate and responsive service to students,Response A
1457,Working closely with various stakeholders to address student welfare concerns and ensuring fair outcomes,Response A
1412,"Supervising and assessing pre-registration nursing students, providing feedback on their progress",Response A
1412,"Supporting students in practice settings, ensuring they meet the required standards and outcomes",Response A
1412,"Addressing student conduct and competence concerns, providing timely support and intervention",Response A
1394,"Providing specialist support to international students, including visa advice and assistance with integration",Response A
1394,Delivering orientation activities and ensuring students are aware of available support services,Response A
1394,Liaising with internal and external stakeholders to address student welfare concerns,Response A
1332,"Leading a team to provide strategic insight and analysis, influencing decision-making across the institution",Response B
1332,"Managing staff development and performance within the team, ensuring a supportive work environment",Response B
1361,Supporting immigration compliance and advising students on immigration-related issues,Response A
1361,Hosting immigration advice surgeries and ensuring students have the right to study in the UK,Response A
1361,"Complying with health, safety, and well-being policies to safeguard the welfare of others",Response A
1383,"Supporting the quality assurance processes for collaborative provision, ensuring compliance with regulations",Response B
1383,"Providing guidance and training to staff on quality assurance processes, ensuring accessibility and inclusivity",Response B
1383,Engaging with stakeholders to improve collaborative provision and support student success,Response B
1449,"Managing academic and professional misconduct cases, ensuring fair outcomes for students",Response A
1449,Providing guidance to students and staff on appeals and misconduct procedures,Response A
1449,"Supporting students through the appeals process, ensuring inclusivity and accessibility",Response A
1335,"Leading the Student Administration team, ensuring accurate records and compliance with regulations",Response B
1335,"Supporting students through program and module registration, ensuring a smooth process",Response B
1335,"Managing staff development within the Student Administration team, providing leadership and support",Response B
1353,"Ensuring the safety and security of students, staff, and visitors through regular patrols and emergency response",Response A
1353,"Acting as the first point of contact during emergencies, providing first aid when necessary",Response A
1353,Supporting university events and maintaining a safe campus environment,Response A
1346,"Providing administrative support to a Professor, ensuring they can navigate their duties effectively",Response A
1346,"Supporting a Professor with a neurodivergent condition, understanding their needs, and providing additional administrative support",Response A
1346,"Ensuring compliance with health, safety, and well-being policies",Response A