Code,Job Description,label
1374,Provide support and guidance to Contractors engaged in Fire door campus works and act as a focal point ensuring a fully compliant Fire door install is delivered to the Estate.,Response B
1374,Maintain Fire door records on CAFM and in line with the Fire Safety Regulations (2023).,Response B
1374,To aid and advise other members of the University Estates & Facilities staff including porters and grounds staff as required.,Response B
1391,Advise on accessibility in the context of web development and take a leading role in ensuring accessibility legislation compliance.,Response A
1391,Gather user requirements and perform user testing for new and existing websites and applications.,Response A
1391,Create and document systems and processes pertaining to the web CMS.,Response A
1391,Line manage the Front-End Web Developer in deploying branded bespoke web features and website elements.,Response A
1391,"Liaise with external suppliers (such as the CMS vendor) to plan and manage system upgrades, support requests, and product enhancement suggestions.",Response A
1391,"Manage, support, and provide relevant training for the users of the Governance tool.",Response A
1391,Contribute to the development and communication of the University's digital governance framework.,Response A
1391,Share web support duties with other Web Services Team members.,Response A
1350,"Plan, manage, and deliver student recruitment events on-campus and virtually.",Response A
1350,"Provide advice, guidance, and training to academic staff, support staff, and Student Ambassadors in the delivery of student recruitment events.",Response A
1350,"Monitor, review, and report on the impact and effectiveness of all student recruitment events.",Response A
1350,Develop positive working relationships with internal colleagues to ensure successful delivery of student recruitment and outreach activities.,Response A
1350,Represent the student recruitment and outreach team at internal and external meetings.,Response A
1350,Collaborate with Marketing and Communications colleagues to ensure effective communications for various events and activities.,Response A
1397,Work with the Apprenticeships Operations Manager to develop and issue apprenticeship paperwork to apprentices and employers.,Response B
1397,Administer apprenticeship surveys and communicate feedback to the Academic Quality Office.,Response B
1397,Work with the e-learning manager to ensure all programme materials are in place and communicate changes to learners.,Response B
1397,"Respond to employer, apprentice, and work-based learner enquiries about apprenticeships, work-based learning, and commercial programmes.",Response B
1397,"Work with Programme Leaders to schedule teaching sessions and workshops, organizing assessments and room bookings.",Response B
1397,Work with the Relationship Managers to ensure key account information is up-to-date and track business referrals and opportunities.,Response B
1397,"Contribute to employer engagement and marketing tasks, including leading on social media activity.",Response B
1344,"Design, deliver, and evaluate key pre-16 schools and colleges engagement activities, including widening participation projects.",Response A
1344,"Deliver presentations, workshops, and other activities in schools and colleges to prospective students and their key influencers (e.g., parents, teachers, careers advisers).",Response A
1344,"Provide advice, guidance, and training to academic staff, support staff, and student ambassadors in the delivery of widening participation and student recruitment activities.",Response A
1344,Maintain and develop relationships with targeted schools and colleges to increase applications to the University.,Response A
1344,"Co-ordinate the University’s work with care leavers, including being the Single Point of Contact for applicants.",Response A
1344,"Collaborate with Marketing and Communications colleagues to ensure communications related to widening participation activities are audience-focused, timely, and effective.",Response A
1354,Provide a welcoming front-of-house reception service.,Response B
1354,"Provide advice and support to students, staff, and other customer inquiries/requests in person, on the phone, or by email related to mail and residential queries.",Response B
1354,"Liaise with external mail services (e.g., Royal Mail, Amazon, FedEx, UPS, DPD, etc.).",Response B
1354,Update the mail services web pages and online store.,Response B
1415,"Receive University visitors, inquiries, and telephone calls as required.",Response B
1415,Perform relief reception and telephone duties as required.,Response B
1415,"Act in response to the activation of alarms on campus, summon appropriate emergency services, and act as the first point of contact for emergency services.",Response B
1415,Ensure that only authorized persons are present on University grounds and request unauthorized persons to leave.,Response B
1415,Complete incident reports and other documentation as required.,Response B
1415,"Issue keys, access control passes, network passwords, and site Health & Safety information to individuals.",Response B
1342,Liaise with conference and group organizers to identify and match customer requirements.,Response A
1342,"Administer conference and bedroom bookings, ensuring accurate and up-to-date information.",Response A
1342,Brief conference organizers and presenters on the use of University media and computing equipment.,Response A
1342,Facilitate and provide technical assistance for online conferences.,Response A
1342,"Manage, train, and mentor the Accommodation and Conference Assistant and temporary conference assistants.",Response A
1342,"Coordinate programs for key events, including liaising with academics, professional services staff, local schools, and various service providers.",Response A
1342,"Provide data, reports, and information for various managers within the department.",Response A
1342,"Develop, review, and maintain policies related to Conferences & Events.",Response A
1341,"Provide first-line accommodation support via telephone, emails, face-to-face, and online inquiries.",Response A
1341,Support conference organizers at events to ensure smooth operation and meet expected standards.,Response B
1341,Provide a welcoming front-of-house reception service.,Response B
1341,"Provide technical assistance and support for conference and meeting bookings, including online meetings.",Response B
1341,"Deliver University mail services, ensuring proper sorting, recording, and notification to recipients.",Response B
1341,Take payments and maintain basic financial records.,Response B
1341,"Provide effective responses to customer complaints and disputes, escalating when necessary.",Response B
1341,"Report welfare, health, security, or maintenance concerns while on duty.",Response B
1341,Maintain accurate records on conference and accommodation booking systems and prepare statistical/management information when required.,Response B
1369,Support the maintenance and publication of definitive programme and module documentation.,Response B
1369,"Liaise with colleagues across various departments (e.g., Marketing, Communications, Recruitment, Student Administration) to ensure accurate and up-to-date information.",Response B
1369,"Maintain the register of Professional, Statutory, and Regulatory Body accreditation arrangements and reviews, and publish this information on the University’s website.",Response B
1369,"Assist with the maintenance of academic policies, ensuring effective communication of changes.",Response B
1369,Maintain the Academic Quality web page (intranet) and relevant information on external web pages.,Response B
1369,"Represent the directorate at Data Champions meetings and the University’s SITS User Group, contributing effectively to these groups.",Response B
1369,"Provide administrative support for academic approval events, periodic reviews, and annual academic reviews, liaising with internal and external contacts as required.",Response B
1369,Respond to requests for information from colleagues by retrieving and presenting data in an appropriate format.,Response B
1414,"Collaborate with key stakeholders to co-create, implement, and monitor policies and practices that foster an accessible, healthy, and inclusive workplace.",Response A
1414,"Provide guidance and support to managers and supervisors in accommodating employees with disabilities, including reasonable adjustments and assistive technologies.",Response A
1414,"Conduct assessments, surveys, and audits to identify barriers and areas for improvement related to workplace accessibility.",Response A
1414,"Monitor and evaluate the effectiveness of reasonable adjustments and initiatives undertaken by the university, recommending improvements based on feedback and data.",Response A
1414,Collaborate with line managers and employees as a point of contact for physical and/or mental health conditions requiring reasonable adjustments.,Response A
1414,Maintain accurate records and documentation related to reasonable adjustments and provide evidence-based reports for the Access Governance Committee.,Response A
1414,Work closely with others to review and develop action plans to increase accountability and drive action to advance equity in the workplace.,Response A
1414,"Facilitate workshops and deliver training sessions on reasonable adjustments, equity, and inclusion in the workplace.",Response A
1436,"Liaise with accredited providers of NPQs and ECF to ensure LTU meets programme delivery requirements, including developing a communications plan for candidates.",Response B
1436,Liaise with partnership schools and programme providers to resolve data inaccuracies and ensure alignment of data across platforms.,Response B
1436,"Serve as the first point of contact between SCITT partners and dual registered students, coordinating with various university departments.",Response B
1436,"Contribute to quality assurance processes, including preparation for Ofsted inspection and providing data to regulatory bodies.",Response B
1436,"Provide administrative support for meetings, including agenda preparation, record-keeping, and minute circulation.",Response B
1436,"Offer efficient and courteous enquiry services to applicants, students, staff, partners, and external bodies via in-person, telephone, or email communication.",Response B
1436,"Support key events, including open days, Clearing, induction, registration, examinations, and awards ceremonies.",Response B
1436,"Advise staff, partners, and students on relevant regulations as required.",Response B
1387,"Act as the main point of contact for the Academic Partnership Unit (APU), handling email inquiries, telephone calls, and conveying information clearly, accurately, and professionally.",Response B
1387,"Provide administrative support for internal and external meetings, including agenda preparation, record-keeping, and minute circulation.",Response B
1387,"Assist with typing, compiling, preparing, and proofreading reports, presentations, and correspondence.",Response B
1387,"Update and maintain records and databases, including gathering data and information for audits and reports.",Response B
1387,"Coordinate staff calendars and arrange external travel, meetings, accommodation, and training for APU staff.",Response B
1458,"Provide high-quality services, facilities, and environments for students, staff, visitors, and partners.",Response B
1458,"Manage and lead staff within their line management, ensuring regular meetings, one-on-ones, performance, and development reviews.",Response A
1458,Liaise with contractors to ensure service delivery aligns with service level agreements and key performance indicators.,Response A
1458,Provide senior stakeholders with reports on the quality of contracted services.,Response A
1458,"Work with key stakeholders to facilitate and support university events, including open days, graduation, and commercial events.",Response A
1458,Collaborate with the Director of Sustainability and other key stakeholders to achieve Net Zero and sustainability objectives.,Response A
1458,Provide support to the city campus front line reception service to ensure excellent service delivery.,Response A
1458,Ensure compliance with waste management legislation and industry standards.,Response A
1458,"Manage CCTV, door access control systems, and general campus security systems.",Response A
1456,"Lead the City Campus Library User Services team, including line management of Information Assistants.",Response A
1456,Liaise closely with Library User Services Managers to ensure consistent customer service standards across campuses.,Response A
1456,"Work with University professional services, such as IT Services and Estates, to ensure effective operation of Library services.",Response A
1456,"Develop and enhance processes for capturing and responding to user needs and feedback, including surveys and UX activities.",Response A
1456,"Act as the named contact for staff and students of designated Faculties, Institutes, and Schools.",Response A
1456,"Provide high-quality enquiry services and user support, including one-to-one appointments and information skills sessions.",Response A
1456,"Develop and maintain links with academic and support staff, capturing feedback and providing updates on Library & Learning Resources.",Response A
1456,"Liaise with the Collections, Access, and Systems (CAS) team and Access Librarian regarding the purchase of stock and specialist online information resources.",Response A
1426,"Provide consultancy on career management and employability issues to academics, including key policy developments and external drivers.",Response A
1426,Build networks across the university with academic colleagues and professional services to raise the profile of the institutional employability agenda.,Response A
1426,Engage with academic colleagues to understand and enhance the embedding of employability and career planning in the curriculum.,Response A
1426,"Provide one-on-one careers guidance to students, including advising on placements, internships, and graduate opportunities.",Response A
1426,"Create and teach on careers and placement-related modules, contributing to the development of new modules and resources.",Response A
1426,Proactively develop specialist knowledge of industry and labor market trends to inform career pathways for students.,Response A
1426,Actively network with regional and national employers to promote the services offered by the directorate.,Response A
1426,Work collaboratively with teams to develop opportunities and initiatives supporting student employability.,Response A
1426,"Organize and promote employability-themed events on campus and virtually, engaging with employers and academics.",Response A
1428,"Liaise regularly on-site with principal contractors, sub-contractors, engineers, surveyors, and other construction professionals to ensure work is conducted according to specifications.",Response B
1428,"Report construction progress and issues to senior management, project managers, architects, and clients.",Response B
1428,"Relay any health and safety issues or poor practices on-site to the Head of Health & Safety, senior management, and project managers.",Response B
1428,"Keep detailed electronic and hard copy records of site performance issues, instructions, and directions to contractors.",Response B
1428,Conduct site inspections and communicate findings related to construction defects and progress against agreed programs.,Response B
1428,Attend and witness commissioning of equipment and handover training for plant and equipment.,Response B
1428,"Assist project managers with snagging, remedial work, and managing latent defects post-project completion.",Response B
1358,"Lead the delivery of the University’s strategic change portfolio, including active engagement with senior leaders and key stakeholders across the institution.",Response A
1358,Provide strategic direction to ensure the successful and timely delivery of the programmes and projects in the University strategy.,Response A
1358,Develop and maintain strong relationships with senior business stakeholders up to the Executive level to ensure smooth change delivery and maximum benefits realization.,Response A
1358,Work with senior colleagues across the University to provide high-level advice to inform Executive decision-making.,Response A
1358,Oversee and manage all strategic initiatives through effective deployment of project and change professionals.,Response A
1358,Develop and implement change management strategies to support the adoption of necessary changes across the institution.,Response A
1358,Ensure effective organizational reporting aligned with University performance and KPIs.,Response A
1358,"Develop and coach stakeholders on core project and change principles, building a culture of project and change management.",Response A
1388,"Provide dedicated diary management and administrative support to the Executive Director of People and Culture, including scheduling meetings, appointments, and managing complex diary and inbox tasks.",Response A
1388,Collaborate and liaise with Executive Assistant colleagues and various departments to ensure effective communication and coordination.,Response A
1388,Handle sensitive and confidential information with professionalism and discretion.,Response A
1388,"Service Directorate meetings and working groups, including preparing agendas, papers, and presentations, as well as taking notes and tracking actions.",Response A
1388,"Build and maintain positive relationships with internal and external stakeholders, acting as the first point of contact and managing inquiries.",Response A
1388,"Act as a gatekeeper, managing all incoming and outgoing communications, prioritizing and responding on behalf of the senior leadership team.",Response A
1388,"Support the senior leadership team in budget planning, financial analysis, and resource allocation.",Response A
1370,Build and lead relationships with budget holders across the University to support financial decision-making.,Response A
1370,Work collaboratively with HR business partners to ensure effective resource planning and monitoring.,Response A
1370,Liaise with budget holders in the preparation of regular financial forecasts and provide timely and accurate advice.,Response A
1370,Contribute to the production of monthly management accounts and the preparation of annual budgets and published accounts.,Response A
1370,"Provide accurate financial management information to Governors, senior staff, and other stakeholders.",Response A
1370,Communicate with internal and external auditors to provide necessary information.,Response A
1370,Liaise with other Finance Managers within the department as required.,Response A
1388,"Manage a caseload of graduates, providing targeted support and advice through one-on-one appointments, workshops, and group activities.",Response A
1388,Provide regular updates and reports on graduate progression.,Response A
1388,Support the annual 'Class of' campaigns by planning communications and delivering workshops and activities.,Response A
1388,Organize employer-led events and activities to provide students with networking opportunities and insights into various careers and industries.,Response A
1388,"Advise finalists and graduates on suitable opportunities, destinations, and projects, providing access to relevant resources.",Response A
1388,"Develop graduate pathway resources and maintain records of student and employer activity, using the data to inform strategy.",Response A
1388,Create and develop graduate case studies in partnership with alumni to showcase career paths available to students.,Response A
1388,"Contribute to University events, including open days, employer networking events, and job fairs.",Response A
1368,Provide leadership and ensure the effective implementation of the University’s policies and framework related to quality management and academic standards.,Response A
1368,"Provide expert advice and support within academic governance, particularly in relation to the Academic Board and its committees.",Response A
1368,"Work collaboratively with various stakeholders, including the Pro Vice-Chancellor and Directors of Academic Partnerships, on the development and quality management of collaborative and transnational education partners.",Response A
1368,"Lead student casework functions, ensuring equitable and consistent handling of cases such as academic appeals and misconduct.",Response A
1368,Ensure the effective dissemination of best practices through annual reviews of academic provision.,Response A
1368,"Maintain awareness of higher education policy, regulation, and compliance related to academic quality and standards, and represent the University at national conferences and events.",Response A
1368,"Lead the production of high-level reports for the Academic Board and Board of Governors, including reporting on academic quality and standards matters.",Response A
1352,"Lead the Careers + Placement division within the Graduate Outcomes and Enterprise Directorate, ensuring exceptional service delivery.",Response A
1352,"Manage individual staff and team performance through clear objectives, KPIs, and training opportunities, including coaching for excellence in service delivery.",Response A
1352,Collaborate with Heads of School and the Centre for Excellence in Learning and Teaching to embed employability and career education across the curriculum.,Response A
1352,Establish and lead internal networks to support the delivery of Careers + Placement strategic priorities and university KPIs.,Response A
1352,"Engage in proactive industry engagement, working with local bodies such as the LEP, Local Authorities, and Chamber of Commerce.",Response A
1352,"Lead the review and monitoring of Graduate Outcome data, strategic action plans, and service performance, influencing senior leaders to develop strategies.",Response A
1352,"Develop and maintain relationships within and across teams, fostering collaboration and innovation in service delivery.",Response A
1405,"Direct, manage, and monitor grounds staff, ensuring effective communication of performance expectations, work practices, and health and safety provisions.",Response B
1405,Liaise with external bodies/agencies as required to ensure the efficient discharge of duties.,Response B
1405,Prepare and communicate risk assessments and method statements for work activities to ensure health and safety accountability.,Response B
1405,"Supervise and provide management and guidance to both permanent grounds staff and agency personnel, ensuring clear communication of responsibilities.",Response B
1405,Organize and manage pest control activities with suppliers and advise on best practices.,Response B
1405,"Support and guide the team by distributing and recording activities through the CAFM system, providing training as necessary.",Response B
1357,"Lead and oversee the development, review, and maintenance of the University’s Health and Safety policies, ensuring compliance with legislation and industry standards.",Response A
1357,Report progress on the Health and Safety Management Action Plan (HASMAP) to the University Health and Safety Committee and other relevant groups.,Response A
1357,"Communicate Key Performance Indicators (KPIs) related to health and safety to the University Executive Team, Leadership Team, and Audit Committee.",Response A
1357,Develop strong working relationships with leaders across the University to maintain and improve Health and Safety performance.,Response A
1357,"Promote and manage Occupational Health and Wellbeing, ensuring proactive support for reasonable adjustments related to health and safety.",Response A
1357,Lead the design and delivery of health and safety training tailored to different audiences within the University.,Response A
1357,"Liaise with staff, including Trade Union Representatives and Departmental Health and Safety Coordinators, to identify hazards, assess risks, and promote continuous improvement.",Response A
1357,"Oversee the investigation of accidents and incidents, ensuring legal compliance and sharing learnings across the University.",Response A
1373,"Manage the management accounts and business partnering staff, ensuring quality processes and outcomes.",Response A
1373,"Oversee and develop business partnering relationships with university stakeholders, working closely with HR and Planning and Information teams.",Response A
1373,"Provide management information, analysis, forecasts, technical input, advice, and reports to senior University managers.",Response A
1373,Facilitate training for budget holders and staff with financial responsibility.,Response A
1373,"Represent the Finance Office on internal working groups, project teams, and committees, providing proactive advice on key risks and financial outcomes.",Response A
1373,Communicate financial forecasting and modeling processes to meet internal and external stakeholder requirements.,Response A
1373, Coordinate and lead on the provision of accurate and timely information to internal and external auditors.,Response A
1399,"Lead the Procurement function, ensuring it maximizes value for money and legislative compliance across Leeds Trinity University.",Response A
1399,"Develop and manage relationships with key stakeholders, both internal and external, including suppliers, procurement consortia, and other agencies.",Response A
1399,"Provide procurement advice and support to the Executive, Senior Leadership Teams, Audit Committees, and other senior management teams.",Response A
1399,Promote the importance of procurement and best practices across the organization through continuous improvement initiatives.,Response A
1399,"Facilitate the development of relationships with existing and potential suppliers, ensuring effective communication and sound supplier risk assessment.",Response A
1399,"Provide regular reports to the Executive Leadership Team and associated committees on procurement status, demonstrating value for money and compliance with regulatory requirements.",Response A
1399,Act as the principal point of contact for formal communications with external companies during the procurement process.,Response A
1334,"Provide leadership and vision for Student Administration, focusing on Assessment, Partnership Assessment, and Apprenticeship Administration.",Response A
1334,"Review, enhance, and implement institutional strategy and policies related to assessment and student administration, advising senior leadership as necessary.",Response A
1334,"Lead on liaison and compliance with external regulatory, accrediting, professional, and auditing bodies, ensuring effective implementation of policies.",Response A
1334,"Build and maintain relationships with external stakeholders, including UK and international franchise and collaborative partners, to enhance policy and process.",Response A
1334,Advise and prepare papers and reports for presentation to senior leadership across all functions and operations.,Response A
1334,"Chair relevant University Committees and working groups, contributing to institutional reviews and strategic projects.",Response A
1334,"Manage and communicate effectively regarding the accuracy and format of student assessment data, ensuring compliance with reporting requirements.",Response A
1457,"Lead the Student Casework Office in delivering all aspects of student casework, including complex cases such as academic appeals, misconduct, fitness to study/practice, and complaints.",Response A
1457,Provide accurate and effective advice and guidance to the University Executive Group and other stakeholders on student casework matters.,Response A
1457,"Report on casework outcomes, analyze complex data, and make recommendations to enhance processes and policies.",Response A
1457,Chair cross-institutional working groups focused on enhancing the student experience through lessons learned from casework.,Response A
1457,"Liaise effectively with the Students’ Union, Chairs of Assessment Panels, and Progression and Award Boards on student casework and academic integrity.",Response A
1457,"Lead on the University’s approach to academic integrity, promoting good academic practice and deterring academic offenses.",Response A
1457,"Provide training opportunities for staff, student representatives, partner colleagues, and other stakeholders on casework.",Response A
1412,"Engage in networking opportunities in practice learning environments, providing support to colleagues and being the point of contact for any questions and concerns.",Response B
1412,"Meet with the practice area, practice assessor/supervisor, and nominated individuals prior to the commencement of the placement to ensure clarity and readiness.",Response B
1412,"Support, supervise, and assess pre-registration nursing students, providing feedback on their progress and making decisions on the achievement of course requirements.",Response B
1412,Liaise with academic assessors to support decisions regarding student progression and outcomes.,Response B
1412,"Contribute to the student’s Practice Assessment Document by recording relevant observations on the conduct, proficiency, and achievement of the students.",Response B
1412,Engage with practice assessors and academic assessors to share observations and raise any student conduct or competence concerns.,Response B
1412,Manage communication and meetings with external practice partners and students to ensure effective and efficient supervision and assessment.,Response B
1394,Develop and encourage the engagement and integration of international students through effective student support.,Response B
1394,"Provide specialist information and advice on visa issues, ensuring compliance and a positive student experience.",Response B
1394,"Maintain and develop specialist knowledge of international student welfare and immigration-related issues, including visa concerns, finance, and cost of living.",Response B
1394,Deliver bespoke welcome and orientation activities for international students.,Response B
1394,Assist students in accessing appropriate support services by signposting to internal and external resources.,Response B
1394,Record and document all interactions with students accurately.,Response B
1394,Deliver staff development sessions to ensure colleagues can handle basic inquiries from international students.,Response B
1394,"Develop and maintain effective relationships with internal and external colleagues and agencies, including UKVI, UKCISA, and AISA.",Response B
1394,Liaise with the Global Engagement team on matters related to international student mobility.,Response B
1332,"Lead the provision and development of insight and analysis to influence key business decision-making, planning, and performance.",Response A
1332,"Actively seek and implement enhancements to analytical outputs, including the development of management information reporting systems.",Response A
1332,"Prepare and deliver high-quality insight reports to the Executive Team and senior managers on strategic, academic, and business planning matters.",Response A
1332,Represent the University externally in network groups to gain and share best practices to enhance analytical practices.,Response A
1332,Lead projects with other University departments to implement solutions that enhance analytical and information practices.,Response A
1332,"Lead the development and delivery of high-quality analysis of performance data, including performance indicators at various institutional levels.",Response A
1332,Champion the use of performance indicators and analysis across the institution to continuously improve intelligence functionality and relevance.,Response A
1332,"Provide line management and leadership within the team, including training, coaching, and performance development.",Response A
1361,"Act as a Level 1 SMS User, capable of issuing CAS and performing basic reporting functions.",Response B
1361,"Support immigration compliance processes, including conducting credibility interviews and reviewing financial documents.",Response B
1361,"Work closely with other departments, such as Admissions, Student Engagement, Student Services, Placements, and Faculties, on shared compliance tasks.",Response B
1361,Attend student engagement meetings to ensure students receive appropriate advice in a timely manner.,Response B
1361,Host immigration advice surgeries on campus or online to provide students with necessary information.,Response B
1361,"Assist with enrolment processes, such as international check-in on campus.",Response B
